idcode,year,age,grade,south,lnwage
1,70,18,12,0,1.451213956
1,71,19,12,0,1.028619766
1,72,20,12,0,1.589977384
1,73,21,12,0,1.780272841
1,75,23,12,0,1.777011633
1,77,25,12,0,1.778680563
1,78,26,12,0,2.493975878
2,71,19,12,0,1.360348225
2,72,20,12,0,1.2061975
2,73,21,12,0,1.549882889
2,75,23,12,0,1.832581162
2,77,25,12,0,1.726721048
2,78,26,12,0,1.689910054
3,68,22,12,0,1.493561387
3,69,23,12,0,1.702528358
3,70,24,12,0,1.451213956
3,71,25,12,0,1.547419667
3,72,26,12,0,1.607294202
3,73,27,12,0,1.597266912
3,75,29,12,0,1.535849571
3,77,31,12,0,1.622840643
3,78,32,12,0,1.566634893
4,70,24,17,0,2.288500309
4,71,25,17,0,2.375578403
4,72,26,17,0,2.413923025
4,73,27,17,0,2.280939102
4,75,29,17,0,2.258813858
5,68,22,12,0,1.627092838
5,69,23,12,0,1.787685633
5,70,24,12,0,1.820857882
5,71,25,12,0,1.858522415
5,72,26,12,0,1.979301453
5,73,27,12,0,1.990411758
5,75,29,12,0,1.585504889
5,77,31,12,0,1.937521458
5,78,32,12,0,2.070492268
6,68,21,12,0,1.521731853
6,69,22,12,0,1.479384422
6,70,23,12,0,1.479384422
6,71,24,12,0,1.518571854
6,72,25,12,0,1.607294202
6,73,26,12,0,1.809741616
6,75,28,12,0,1.853972316
6,77,30,12,0,1.963109851
6,78,31,12,0,1.98273313
7,68,19,12,0,1.482066751
7,69,19,12,0,1.490434408
7,70,21,12,0,1.539445519
7,71,22,12,0,1.493879557
7,72,23,12,0,1.454573154
7,73,23,12,0,1.454573154
9,70,18,12,0,1.472236753
9,71,19,12,0,1.717023134
9,72,20,12,0,1.747242212
9,73,21,12,0,1.799791694
9,75,23,12,0,2.017152071
9,77,25,12,0,2.091363668
9,78,26,12,0,2.114098787
10,69,17,10,0,1.361601353
10,70,18,10,0,1.461483717
10,71,19,10,0,1.611662626
10,72,20,10,0,1.301507473
10,75,23,10,0,1.39134872
10,77,25,10,0,1.321255922
10,78,26,10,0,1.416566133
13,70,22,14,0,1.952854395
13,71,23,14,0,1.954463363
13,73,25,14,0,1.864329815
13,75,27,14,0,2.094945192
13,78,30,14,0,2.125834465
15,77,28,16,0,2.205023289
15,78,29,16,0,2.340595007
16,70,21,15,0,2.043246508
16,71,22,15,0,1.984131098
16,72,23,15,0,2.011327744
16,73,24,15,0,2.087473631
16,75,26,15,0,1.832581162
16,77,28,15,0,1.935359716
16,78,29,15,0,2.018620253
17,70,21,15,0,2.000029325
17,71,22,15,0,1.954463363
17,72,23,15,0,2.083181858
17,73,24,15,0,2.647089481
17,77,28,15,0,2.039101601
18,77,28,15,0,1.237874031
19,70,21,15,0,2.01878047
19,71,22,15,0,2.042000771
19,72,23,15,0,1.773026943
19,73,24,15,0,1.798162818
19,75,26,15,0,1.932792664
19,78,29,15,0,1.780994058
20,70,21,15,0,2.01878047
20,71,22,15,0,2.081665754
20,72,23,15,0,2.117260933
20,73,24,15,0,2.099895954
20,75,26,15,0,2.082393169
20,77,28,15,0,2.100580215
20,78,29,15,0,1.990396142
21,70,21,15,0,1.907554626
21,72,23,15,0,2.208344936
21,73,24,15,0,2.194082737
21,75,26,15,0,1.910542965
22,69,21,15,0,1.949388146
22,70,22,15,0,1.971228004
22,71,23,15,0,2.042000771
22,72,24,15,0,2.321673393
22,73,25,15,0,2.320567369
22,75,27,15,0,2.316008091
22,77,29,15,0,2.129515409
22,78,30,15,0,2.056841373
23,75,28,15,0,1.910542965
23,77,30,15,0,1.854699254
24,68,21,14,0,1.372200131
