Date andTime	 Date	                 Time	  Site	Location	          Depth	Sample	Param	   Name	          Qualifier	  Val	  Units	 QC    
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	0	8915	315	Ammonia Nitrogen	NA	0.079	mg/L	102
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	1	8915	315	Ammonia Nitrogen		0.066	mg/L	102
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	3	8915	315	Ammonia Nitrogen		0.01	mg/L	102
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	6	8915	315	Ammonia Nitrogen		0.01	mg/L	102
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	8	8915	315	Ammonia Nitrogen		0.01	mg/L	102
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	9	8915	315	Ammonia Nitrogen		0.01	mg/L	102
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	11	8915	315	Ammonia Nitrogen		0.01	mg/L	102
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	2	8915	315	Ammonia Nitrogen		0.03	mg/L	102
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	4	8915	315	Ammonia Nitrogen		0.01	mg/L	102
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	5	8915	315	Ammonia Nitrogen		0.01	mg/L	102
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	7	8915	315	Ammonia Nitrogen		0.01	mg/L	102
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	10	8915	315	Ammonia Nitrogen		0.01	mg/L	102
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	12	8915	315	Ammonia Nitrogen		0.01	mg/L	102
30/07/1997 11:30	30/07/1997	11:30:00	30001	surface (3.0m tube)	13	8915	315	Ammonia Nitrogen		0.01	mg/L	102
30/07/1997 12:00	30/07/1997	12:00:00	30016	surface (3.0m tube)		4129	302	Secchi Disc Depth		2.2	m	
30/07/1997 12:00	30/07/1997	12:00:00	30001	surface (3.0m tube)		4125	313	Filt.Nitrate NO3-N		0.009	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30001	surface (3.0m tube)		4125	314	Nitrite NO2-N		0.001	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30001	surface (3.0m tube)		4125	315	Ammonia Nitrogen		0.04	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30001	surface (3.0m tube)		4125	754	Nitrogen Oxides		0.01	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30001	surface (3.0m tube)		4125	851	Filt Reac Phosphorus		0.003	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30001	surface (3.0m tube)		4125	852	Suspended Solids		2	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30015	surface (3.0m tube)		4127	852	Suspended Solids	<	2	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30016	surface (3.0m tube)		4129	852	Suspended Solids	<	2	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30017	surface (3.0m tube)		4131	852	Suspended Solids	<	2	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30001	surface (3.0m tube)		4125	863	Total Algal Count		19323	Cells/mL	1
30/07/1997 12:00	30/07/1997	12:00:00	30003	surface (3.0m tube)		4132	863	Total Algal Count		35186	Cells/mL	1
30/07/1997 12:00	30/07/1997	12:00:00	30004	surface (3.0m tube)		4133	863	Total Algal Count		5933	Cells/mL	1
30/07/1997 12:00	30/07/1997	12:00:00	30015	surface (3.0m tube)		4127	863	Total Algal Count		41981	Cells/mL	1
30/07/1997 12:00	30/07/1997	12:00:00	30016	surface (3.0m tube)		4129	863	Total Algal Count		36200	Cells/mL	1
30/07/1997 12:00	30/07/1997	12:00:00	30017	surface (3.0m tube)		4131	863	Total Algal Count		49484	Cells/mL	1
30/07/1997 12:00	30/07/1997	12:00:00	30018	surface (3.0m tube)		4134	863	Total Algal Count		2571.5	Cells/mL	1
30/07/1997 12:00	30/07/1997	12:00:00	30019	surface (3.0m tube)		4135	863	Total Algal Count		65511	Cells/mL	1
30/07/1997 12:00	30/07/1997	12:00:00	30001	surface (3.0m tube)		4125	929	Total Nitrogen		0.45	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30015	surface (3.0m tube)		4127	929	Total Nitrogen		0.43	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30016	surface (3.0m tube)		4129	929	Total Nitrogen		0.43	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30017	surface (3.0m tube)		4131	929	Total Nitrogen		0.43	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30001	surface (3.0m tube)		4125	940	Total Phosphorus		0.013	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30015	surface (3.0m tube)		4127	940	Total Phosphorus		0.014	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30016	surface (3.0m tube)		4129	940	Total Phosphorus		0.014	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30017	surface (3.0m tube)		4131	940	Total Phosphorus		0.016	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30001	bottom		4124	313	Filt.Nitrate NO3-N		0.129	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30001	bottom		4124	314	Nitrite NO2-N		0.001	mg/L	1
30/07/1997 12:00	30/07/1997	12:00:00	30001	bottom		4124	315	Ammonia Nitrogen	<	0.01	mg/L	1
